12x8,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,Group Name
A,Cal 1,Cal 1,12345,S2,S3,S4,S5,S6,S7,S8,S9,S10,
B,Cal 2,Cal 2,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
C,Cal 3,Cal 3,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
D,Cal 4,Cal 4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
E,Cal 5,Cal 5,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
F,Cal 6,Cal 6,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
G,Low,Low,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
H,High,High,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,Group Type (i.e. calibrator negative sample control)
A,calibrator,calibrator,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
B,calibrator,calibrator,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
C,calibrator,calibrator,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
D,calibrator,calibrator,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
E,calibrator,calibrator,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
F,calibrator,calibrator,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
G,control,control,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
H,control,control,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,Dilution Factor (total/part)
A,,,100,100,100,100,100,100,100,100,100,100,
B,,,100,100,100,100,100,100,100,100,100,100,
C,,,100,100,100,100,100,100,100,100,100,100,
D,,,100,100,100,100,100,100,100,100,100,100,
E,,,100,100,100,100,100,100,100,100,100,100,
F,,,100,100,100,100,100,100,100,100,100,100,
G,,,100,100,100,100,100,100,100,100,100,100,
H,,,100,100,100,100,100,100,100,100,100,100,
